room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
Entire home/apt,12,16,1,0,4,2,178
Entire home/apt,8,5,57,5,7,3,155
Entire home/apt,7,5,7,4,5,1,166
Entire home/apt,14,3,0,0,4,1,178
Entire home/apt,12,5,1,0,6,3,178
Entire home/apt,15,1,0,0,4,1,178
Entire home/apt,14,2,0,0,3,1,178
Entire home/apt,14,5,0,0,6,2,178
Entire home/apt,15,5,0,0,4,1,178
Entire home/apt,7,10,0,0,4,1,155
Entire home/apt,4,39,3,4.5,6,2,178
Entire home/apt,1,16,5,5,6,3,167
Entire home/apt,4,43,12,5,6,2,149
Entire home/apt,7,3,0,0,6,1,177
Entire home/apt,3,26,0,0,8,2,167
Entire home/apt,7,1,1,0,4,2,158
Entire home/apt,13,2,0,0,4,1,178
Entire home/apt,15,5,0,0,12,5,155
Entire home/apt,4,40,0,0,3,1,178
Entire home/apt,15,4,2,0,5,1,184
Entire home/apt,14,1,0,0,4,2,167
Entire home/apt,14,1,114,5,6,3,182
Entire home/apt,14,8,1,0,6,2,149
Entire home/apt,12,9,2,0,5,2,107
Entire home/apt,15,4,0,0,6,2,119
Entire home/apt,12,10,6,4.5,6,5,119
Entire home/apt,15,4,1,0,4,2,113
Entire home/apt,6,15,1,0,2,0,113
Entire home/apt,14,1,0,0,4,1,119
Entire home/apt,10,82,0,0,4,0,119
Entire home/apt,2,47,0,0,4,1,113
Entire home/apt,2,30,47,4.5,6,2,119
Entire home/apt,14,4,3,4.5,4,1,119
Entire home/apt,10,70,0,0,8,4,113
Entire home/apt,15,2,0,0,4,1,119
Entire home/apt,15,5,5,4.5,5,1,119
Entire home/apt,7,7,0,0,4,2,106
Entire home/apt,8,1,23,4.5,6,4,119
Entire home/apt,9,3,17,5,5,3,124
Entire home/apt,12,20,0,0,4,2,111
Entire home/apt,1,10,8,5,5,2,107
Entire home/apt,11,57,1,0,4,1,119
Entire home/apt,15,5,3,4.5,6,2,114
Entire home/apt,9,1,3,5,5,2,119
Entire home/apt,15,1,12,3.5,6,3,107
Entire home/apt,12,10,0,0,4,2,119
Entire home/apt,8,2,1,0,2,1,119
Entire home/apt,12,20,0,0,2,1,107
Entire home/apt,5,7,0,0,3,1,119
Entire home/apt,3,26,33,4.5,6,3,113
Entire home/apt,10,42,23,4.5,7,3,119
Entire home/apt,11,36,15,5,6,3,106
Entire home/apt,2,25,0,0,6,3,119
Entire home/apt,1,16,0,0,5,4,107
Entire home/apt,4,37,0,0,4,1,107
Entire home/apt,15,5,75,4.5,6,3,119
Entire home/apt,8,3,34,5,3,1,107
Entire home/apt,5,8,1,0,4,1,113
Entire home/apt,7,7,0,0,4,1,119
Entire home/apt,2,41,0,0,4,2,107
Entire home/apt,12,18,0,0,5,2,107
Entire home/apt,15,4,38,5,5,2,107
Entire home/apt,13,3,0,0,2,1,119
Entire home/apt,2,42,9,5,5,2,106
Entire home/apt,15,1,9,4.5,2,1,107
Entire home/apt,4,45,2,0,4,1,119
Entire home/apt,6,26,12,4.5,6,3,112
Entire home/apt,15,1,0,0,4,1,113
Entire home/apt,15,5,21,5,6,2,119
Entire home/apt,14,8,0,0,4,2,119
Entire home/apt,15,1,0,0,2,1,107
Entire home/apt,7,1,0,0,6,2,106
Entire home/apt,15,4,33,4.5,4,1,115
Entire home/apt,4,37,0,0,4,1,107
Entire home/apt,14,5,8,4.5,6,1,106
Entire home/apt,12,18,66,4.5,6,2,119
Entire home/apt,4,28,0,0,4,1,117
Entire home/apt,10,88,1,0,4,2,119
Entire home/apt,2,8,0,0,6,2,119
